real_country_name,rounds,accuracy_pct,avg_dist_km,avg_delta_km,biggest_confusion,worst_region,worst_region_avg_km
Japan,90,85.6,1564.3,131.0,United States,,
Mongolia,15,80.0,868.1,-768.0,Kazakhstan,,
Iceland,15,80.0,1388.9,167.8,Argentina,,
Germany,64,79.7,377.2,45.6,Poland,,
Brazil,145,78.6,2348.5,-1125.3,Argentina,Norte,3074.2
Jordan,13,76.9,591.7,-1055.6,Oman,,
Nigeria,43,76.7,747.9,-481.9,Ghana,,
Kazakhstan,33,75.8,1032.1,-868.5,Russian Federation,,
India,82,74.4,2585.1,1113.7,Brazil,Western Zone,4582.6
Ghana,27,74.1,1205.5,-50.6,Nigeria,,
United States,229,73.4,2434.3,386.2,Canada,Hawaii,8215.7
Portugal,26,73.1,727.9,110.2,Spain,,
Bangladesh,40,72.5,653.0,-507.3,Thailand,,
Viet Nam,29,72.4,2709.1,1349.3,Indonesia,,
Thailand,79,72.2,2195.3,176.8,Cambodia,,
United Kingdom,87,71.3,651.1,-597.7,Ireland,,
"Taiwan, Province of China",31,71.0,683.5,-142.8,Japan,,
Russian Federation,156,70.5,2386.6,-1.3,Ukraine,Eastern MD,4959.0
Kenya,40,70.0,1456.1,-1296.0,Nigeria,,
Israel,20,70.0,1428.2,-332.6,"Palestine, State of",,
Australia,119,69.7,3799.2,-1018.8,South Africa,Northern Australia,5343.6
South Africa,103,68.9,2257.7,-677.3,Australia,,
Singapore,16,68.8,1840.9,-1961.8,Japan,,
Bhutan,9,66.7,2678.5,-2726.1,Colombia,,
New Zealand,45,66.7,3656.4,-429.3,Argentina,,
Malaysia,47,66.0,1754.1,-26.5,Thailand,,
Sweden,53,66.0,573.5,-91.8,Norway,,
Netherlands,26,65.4,294.2,-206.2,United Kingdom,,
Senegal,23,65.2,2118.3,-1505.2,Kenya,,
Guatemala,23,65.2,1683.0,-579.1,Argentina,,
Kyrgyzstan,17,64.7,2165.0,-419.4,Kazakhstan,,
Luxembourg,14,64.3,192.7,-677.9,France,,
France,78,64.1,844.6,-217.4,Poland,,
Greece,50,64.0,1402.7,104.7,Spain,,
United Arab Emirates,16,62.5,611.1,-1137.1,Jordan,,
Philippines,68,61.8,2653.3,-23.3,Thailand,,
Romania,48,60.4,678.0,-76.0,Bulgaria,,
Spain,83,60.2,1608.3,-243.4,Greece,,
Türkiye,57,59.6,1774.8,652.7,Spain,,
"Korea, Republic of",17,58.8,4498.5,1149.9,Italy,,
Austria,31,58.1,555.4,228.8,Germany,,
Czechia,30,56.7,475.2,-543.2,Poland,,
Rwanda,9,55.6,1099.7,-1548.3,Eswatini,,
Mexico,90,55.6,3750.2,509.7,Argentina,North,3826.7
Colombia,65,53.8,3403.1,418.3,Peru,,
Poland,41,53.7,1050.8,298.4,Romania,,
Italy,73,53.4,859.4,-320.2,Spain,,
Ireland,30,53.3,1179.3,527.4,United Kingdom,,
Bulgaria,40,52.5,870.0,216.4,Russian Federation,,
Canada,100,51.0,2109.3,-592.6,United States,British Columbia,3015.5
Albania,10,50.0,438.6,-1036.5,Italy,,
Indonesia,110,49.1,3086.6,-1118.4,Malaysia,Sulawesi,4330.0
Norway,55,49.1,1037.8,82.6,Sweden,,
Switzerland,23,47.8,711.5,428.7,Germany,,
Namibia,17,47.1,1431.7,-1809.5,Botswana,,
Estonia,13,46.2,377.0,-1318.0,Latvia,,
Finland,40,45.0,1203.3,294.5,Latvia,,
Chile,67,44.8,3277.8,70.3,Argentina,,
Puerto Rico,9,44.4,3030.5,224.3,Mexico,,
Sri Lanka,23,43.5,2446.5,-279.0,Thailand,,
Hungary,30,43.3,958.1,-76.1,Czechia,,
Cambodia,28,42.9,3825.3,586.0,Thailand,,
Argentina,111,42.3,2603.5,-1351.1,Chile,Centro,3515.4
Peru,70,41.4,3181.0,767.0,Chile,,
Panama,22,40.9,3379.0,964.7,Mexico,,
Lithuania,25,40.0,766.4,-535.1,Poland,,
Croatia,20,40.0,584.7,-887.2,Türkiye,,
Oman,15,40.0,4554.7,2008.8,United Arab Emirates,,
Ukraine,48,39.6,1044.7,-387.3,Russian Federation,,
Slovenia,13,38.5,419.9,-552.1,Czechia,,
Slovakia,16,37.5,799.5,-105.1,Czechia,,
Denmark,25,36.0,700.9,-95.3,Sweden,,
Belgium,25,36.0,846.6,341.7,Netherlands,,
Latvia,21,33.3,1013.0,-261.2,Germany,,
Uruguay,35,31.4,1966.7,-1604.4,Chile,,
Ecuador,26,30.8,4046.6,326.4,Colombia,,
Eswatini,13,30.8,3082.2,-132.2,South Africa,,
Montenegro,14,28.6,593.2,-600.9,Albania,,
Qatar,11,27.3,612.0,266.2,United Arab Emirates,,
"Bolivia, Plurinational State of",34,26.5,1754.1,-1260.5,Peru,,
Lesotho,8,25.0,2924.8,1129.6,South Africa,,
Serbia,24,25.0,518.7,-891.5,Bulgaria,,
Botswana,30,13.3,1753.2,-802.4,South Africa,,
Bosnia and Herzegovina,11,9.1,587.0,187.7,Austria,,
Nepal,8,0.0,784.5,-265.7,India,,
