train_priority_rank,real_country_name,train_priority_score,train_bucket,rounds,avg_delta_km,accuracy_pct,avg_dist_km,rounds_imp,delta_imp,accuracy_imp,distance_imp
1,United States,74.62,Very High,182,495.504,73.62637362637363,2575.886373626374,100.0,59.50076325105409,26.373626373626365,55.348209188680705
2,India,61.22,Very High,64,1582.2003125,67.1875,3124.08578125,31.79190751445087,83.9235533448015,32.8125,68.07969769376159
3,Oman,59.6,Very High,13,2297.5246153846156,38.46153846153847,4123.64,2.312138728323699,100.0,61.53846153846153,91.29353716393815
4,Russian Federation,56.39,Very High,131,-27.189307692307676,69.46564885496184,2351.642290076336,70.52023121387283,47.75357243947603,30.53435114503816,50.14032145230829
5,Mexico,54.81,Very High,83,645.1689024390244,54.21686746987952,3969.036265060241,42.77456647398844,62.86438421362129,45.78313253012048,87.70299028107922
6,Colombia,53.85,Very High,60,1016.7898333333334,53.333333333333336,3398.4015,29.47976878612717,71.21632199538746,46.666666666666664,74.45045871878338
7,Thailand,46.45,Very High,72,282.15250000000003,70.83333333333334,2165.4165277777774,36.41618497109826,54.705827590787784,29.166666666666657,45.81537852263292
8,"Korea, Republic of",45.9,Very High,17,1149.9312499999999,58.82352941176471,4498.527647058823,4.624277456647398,74.20858840379505,41.17647058823529,100.0
9,Panama,44.78,Very High,22,964.7436363636363,40.909090909090914,3378.9668181818183,7.514450867052023,70.04661770068483,59.090909090909086,73.99910392939995
10,Türkiye,44.17,Very High,53,449.8792452830189,60.37735849056604,1578.4701886792452,25.43352601156069,58.47537667826994,39.62264150943396,32.18402382685631
11,Viet Nam,43.91,Very High,22,1012.4868181818182,77.27272727272727,2584.807272727273,7.514450867052023,71.11961453939738,22.727272727272734,55.55538986559975
12,Peru,43.82,Very High,57,265.8791228070175,47.368421052631575,2891.4335087719296,27.74566473988439,54.34009406364785,52.631578947368425,62.67653656015981
13,Philippines,43.46,Very High,61,200.97852459016397,62.295081967213115,2816.65868852459,30.057803468208093,52.88149549385758,37.704918032786885,60.939951749579166
14,Japan,43.08,Very High,78,-22.434358974359004,88.46153846153845,1186.4541025641026,39.884393063583815,47.860436807293596,11.538461538461547,23.079766826986763
15,Brazil,42.08,Very High,117,-898.358547008547,79.48717948717949,2350.28094017094,62.42774566473989,28.17461259281682,20.51282051282051,50.1087052002093
16,Chile,41.96,Very High,62,-3.0787096774193126,43.54838709677419,3303.1316129032257,30.63583815028902,48.29544238748171,56.45161290322581,72.23789253285695
17,Spain,41.56,Very High,79,-249.6652564102564,59.49367088607595,1589.1251898734176,40.46242774566474,42.753570751841906,40.50632911392405,32.431477624395555
18,Poland,40.87,High,37,492.0721621621622,56.75675675675676,1086.922972972973,16.184971098265898,59.423634936376665,43.24324324324324,20.768236725594928
19,Malaysia,40.51,High,41,372.83390243902437,63.41463414634146,1933.1797560975608,18.497109826589593,56.743832902575306,36.58536585365854,40.4218670594944
20,South Africa,39.91,High,93,-651.7929347826087,67.74193548387096,2301.614731182796,48.554913294797686,33.71601373908271,32.25806451612904,48.97847180027865
21,Ireland,39.8,High,28,568.8728571428571,57.14285714285714,1237.8342857142857,10.982658959537572,61.14968041108001,42.85714285714286,24.273030084970102
