rounds_played,start_time,end_time,my_health,opp_health,my_avg_dist_m,opp_avg_dist_m,my_avg_dist_km,opp_avg_dist_km,game_mode,is_rated,is_team_duels,result
5,2025-11-15 13:26:17.401000+00:00,2025-11-15 13:28:58.981000+00:00,6000.0,0.0,35295.36,631251.53,35.3,631.25,StandardDuels,True,False,W
8,2025-11-15 13:30:29.965000+00:00,2025-11-15 13:36:58.478000+00:00,6000.0,0.0,837877.37,3262856.76,837.88,3262.86,StandardDuels,True,False,W
10,2025-11-15 13:38:19.844000+00:00,2025-11-15 13:46:12.725000+00:00,6000.0,0.0,1436283.41,3887016.93,1436.28,3887.02,StandardDuels,True,False,W
5,2025-11-15 13:47:17.487000+00:00,2025-11-15 13:52:42.849000+00:00,0.0,2577.0,1165952.08,695767.66,1165.95,695.77,StandardDuels,True,False,L
6,2025-11-15 13:53:09.091000+00:00,2025-11-15 13:57:42.770000+00:00,6000.0,0.0,1102146.31,2679934.16,1102.15,2679.93,StandardDuels,True,False,W
5,2025-11-15 13:59:30.741000+00:00,2025-11-15 14:04:14.285000+00:00,3958.0,0.0,283444.38,3096458.75,283.44,3096.46,StandardDuels,True,False,W
8,2025-11-15 14:06:43.685000+00:00,2025-11-15 14:13:33.122000+00:00,0.0,4034.0,439112.36,384680.79,439.11,384.68,StandardDuels,True,False,L
9,2025-11-15 14:14:20.244000+00:00,2025-11-15 14:21:31.737000+00:00,3574.0,0.0,4272405.46,5337769.1,4272.41,5337.77,StandardDuels,True,False,W
8,2025-11-15 14:21:58.110000+00:00,2025-11-15 14:29:02.767000+00:00,2354.0,0.0,700949.18,2036860.76,700.95,2036.86,StandardDuels,True,False,W
6,2025-11-15 14:29:32.892000+00:00,2025-11-15 14:34:30.560000+00:00,0.0,776.0,2793519.47,1574461.55,2793.52,1574.46,StandardDuels,True,False,L
6,2025-11-15 14:35:28.009000+00:00,2025-11-15 14:40:02.495000+00:00,6000.0,0.0,1143741.14,2826627.7,1143.74,2826.63,StandardDuels,True,False,W
4,2025-11-15 14:55:40.617000+00:00,2025-11-15 14:58:30.766000+00:00,5765.0,0.0,221809.86,1051280.3,221.81,1051.28,StandardDuels,True,False,W
