round_number,game_mode,is_rated,map_slug,is_team_duels,real_lat,real_lng,real_country,round_start,round_end,my_lat,my_lng,my_guessed_country,my_dist_m,my_dist_km,my_score,my_ttg_s,my_hp_before,my_hp_after,my_hp_delta,opp_lat,opp_lng,opp_guessed_country,opp_dist_m,opp_dist_km,opp_score,opp_ttg_s,opp_hp_before,opp_hp_after,opp_hp_delta,round_result,guessed_correctly,opp_correct,real_country_name,my_guessed_country_name,opp_guessed_country_name,region,dist_delta_km
1,NmpzDuels,True,65c86935d327035509fd616f,False,54.87629529757859,-6.969400691784076,gb,2026-04-16 17:44:35.740000+00:00,2026-04-16 17:45:01.455000+00:00,47.778397117881866,5.689162477833927,fr,1178548.6293774853,1178.55,2777.0,10.71,6000.0,6000.0,0.0,-45.45908610821781,169.3320461015006,nz,18935705.3816264,18935.71,0.0,20.01,6000.0,3223.0,-2777.0,W,False,False,United Kingdom,France,New Zealand,,-17757.16
2,NmpzDuels,True,65c86935d327035509fd616f,False,-26.40400838491025,31.187711070534,sz,2026-04-16 17:45:08.043000+00:00,2026-04-16 17:45:43.111000+00:00,-8.123812636183988,-48.997798198785055,br,8633614.474910552,8633.61,67.0,20.07,6000.0,5987.0,-13.0,-17.74169796785576,-49.82668890915237,br,8274020.57917537,8274.02,80.0,32.47,3223.0,3223.0,0.0,L,False,False,Eswatini,Brazil,Brazil,,359.59000000000015
3,NmpzDuels,True,65c86935d327035509fd616f,False,-16.78804285056678,-72.30941703814604,pe,2026-04-16 17:45:52.802000+00:00,2026-04-16 17:46:52.716000+00:00,-19.80150308452299,-69.84139789292132,cl,424439.8846897544,424.44,4046.0,44.91,5987.0,5831.0,-156.0,-18.98540231082285,-69.63841626404022,cl,373596.6205755919,373.6,4150.0,56.38,3223.0,3223.0,0.0,L,False,False,Peru,Chile,Chile,,50.839999999999975
4,NmpzDuels,True,65c86935d327035509fd616f,False,-11.60870534234538,-51.12604612407077,br,2026-04-16 17:47:01.471000+00:00,2026-04-16 17:47:31.674000+00:00,-21.23983965857591,-52.86748882461648,br,1086873.48256154,1086.87,2907.0,15.2,5831.0,5831.0,0.0,-21.87507966027142,146.25728765826253,au,15836613.15202074,15836.61,2.0,23.33,3223.0,0.0,-3223.0,W,True,False,Brazil,Brazil,Australia,Norte,-14749.740000000002
1,NoMoveDuels,True,668ea3252973190af74233b5,False,17.140496024270703,-99.52918009614017,mx,2026-04-16 17:39:57.465000+00:00,2026-04-16 17:41:05.631000+00:00,-3.0224975516899604,-78.34365402166368,ec,3229867.4994752165,3229.87,998.0,53.17,6000.0,6000.0,0.0,-26.61854376094433,29.315022764049885,za,14666924.614882631,14666.92,3.0,57.8,6000.0,5005.0,-995.0,W,False,False,Mexico,Ecuador,South Africa,South,-11437.05
2,NoMoveDuels,True,668ea3252973190af74233b5,False,-29.691976933406604,-66.84663588501543,ar,2026-04-16 17:41:07.543000+00:00,2026-04-16 17:41:45.323000+00:00,-29.018435087408445,147.13461386775265,au,12557418.924408676,12557.42,9.0,39.29,6000.0,5999.0,-1.0,-28.64356859763404,150.0601403198891,au,12437108.493261302,12437.11,10.0,22.78,5005.0,5005.0,0.0,L,False,False,Argentina,Australia,Australia,Norte Grande,120.30999999999949
3,NoMoveDuels,True,668ea3252973190af74233b5,False,60.82658257694596,78.04946865213358,ru,2026-04-16 17:41:59.058000+00:00,2026-04-16 17:42:26.737000+00:00,54.71695279928267,53.201317918411085,ru,1609607.5537121012,1609.61,2239.0,16.23,5999.0,5999.0,0.0,51.244892462454686,39.2144055821879,ru,2588387.1080254265,2588.39,1374.0,12.68,5005.0,3707.0,-1298.0,W,True,True,Russian Federation,Russian Federation,Russian Federation,Central MD,-978.78
4,NoMoveDuels,True,668ea3252973190af74233b5,False,43.49191967062886,18.375351223342435,ba,2026-04-16 17:42:27.558000+00:00,2026-04-16 17:43:16.660000+00:00,58.869894548431176,26.14000555461875,ee,1790709.0235466133,1790.71,2046.0,36.06,5999.0,2151.0,-3848.0,44.01884885298587,16.491782806084395,ba,162225.917364959,162.23,4611.0,34.1,3707.0,3707.0,0.0,L,False,True,Bosnia and Herzegovina,Estonia,Bosnia and Herzegovina,,1628.48
5,NoMoveDuels,True,668ea3252973190af74233b5,False,-38.64604002092738,-69.07097781755151,ar,2026-04-16 17:43:15.889000+00:00,2026-04-16 17:43:56.950000+00:00,-26.01492084252357,-70.04471552361004,cl,1407466.413175658,1407.47,2477.0,42.56,2151.0,2151.0,0.0,-33.333185121375806,146.9046274135761,au,11192374.387832044,11192.37,19.0,26.06,3707.0,0.0,-3707.0,W,False,False,Argentina,Chile,Australia,Patagonia,-9784.900000000001
1,NmpzDuels,True,65c86935d327035509fd616f,False,60.416664920716585,25.6297126369174,fi,2026-04-16 17:37:20.211000+00:00,2026-04-16 17:37:44.235000+00:00,48.94030509128105,18.55814034962144,sk,1352826.944471409,1352.83,2545.0,25.54,6000.0,4773.0,-1227.0,59.47477218078347,15.64971172173315,se,564976.5184270021,564.98,3772.0,9.02,6000.0,6000.0,0.0,L,False,False,Finland,Slovakia,Sweden,,787.8499999999999
